ukmcs_variable_name,ukmcs_variable_label,mcs_variables_value_labels,combined_labels
APPRLM0C,Complications during labour MC3 ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = No complications; 2.0 = Breech birth - feet first; 3.0 = Other abnormal lie eg shoulder first; 4.0 = Very long labour; 5.0 = Very rapid labour; 6.0 = Foetal distress - Heart rate sign; 7.0 = Foetal distress - Meconium. other; 51.0 = Other/Raised blood pressure; 52.0 = Other/Bleeding due to low lying placenta (Placenta; 53.0 = Other/Accidental haemorrhage, abruption; 54.0 = Other/Other haemorrhage, origin or timing unclear; 55.0 = Other/Cord around neck etc; 56.0 = Other/Head at the back (Occipitoposterior); 57.0 = Other/Baby s head too big/mother s pelvis too small; 58.0 = Other/Unable to push baby out (Uterine inertia); 59.0 = Other/Delay in labour, cervical; 60.0 = Other/Delay in labour, insufficient or partial; 61.0 = Other/Severe maternal distress; 62.0 = Other/Baby ill, at or after birth, without mention; 63.0 = Other/Maternal or placental problem post delivery; 64.0 = Other/Breech delivery other than footling; 65.0 = Other/Baby born early, premature, low birthweight; 66.0 = Other/Instrumentation, forceps, ventouse; 67.0 = Other/Infection in labour; 68.0 = Other/Failed induction; 69.0 = Other/Caesarian section; 70.0 = Other/Manual manipulation; 71.0 = Other/Early rupture of membranes; 85.0 = Other answer (not codeable 1-7, 51-71); 86.0 = Irrelevant response","Complications during labour MC3 : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = No complications; 2.0 = Breech birth - feet first; 3.0 = Other abnormal lie eg shoulder first; 4.0 = Very long labour; 5.0 = Very rapid labour; 6.0 = Foetal distress - Heart rate sign; 7.0 = Foetal distress - Meconium. other; 51.0 = Other/Raised blood pressure; 52.0 = Other/Bleeding due to low lying placenta (Placenta; 53.0 = Other/Accidental haemorrhage, abruption; 54.0 = Other/Other haemorrhage, origin or timing unclear; 55.0 = Other/Cord around neck etc; 56.0 = Other/Head at the back (Occipitoposterior); 57.0 = Other/Baby s head too big/mother s pelvis too small; 58.0 = Other/Unable to push baby out (Uterine inertia); 59.0 = Other/Delay in labour, cervical; 60.0 = Other/Delay in labour, insufficient or partial; 61.0 = Other/Severe maternal distress; 62.0 = Other/Baby ill, at or after birth, without mention; 63.0 = Other/Maternal or placental problem post delivery; 64.0 = Other/Breech delivery other than footling; 65.0 = Other/Baby born early, premature, low birthweight; 66.0 = Other/Instrumentation, forceps, ventouse; 67.0 = Other/Infection in labour; 68.0 = Other/Failed induction; 69.0 = Other/Caesarian section; 70.0 = Other/Manual manipulation; 71.0 = Other/Early rupture of membranes; 85.0 = Other answer (not codeable 1-7, 51-71); 86.0 = Irrelevant response"
APPRLM0D,Complications during labour MC4 ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = No complications; 2.0 = Breech birth - feet first; 3.0 = Other abnormal lie eg shoulder first; 4.0 = Very long labour; 5.0 = Very rapid labour; 6.0 = Foetal distress - Heart rate sign; 7.0 = Foetal distress - Meconium. other; 51.0 = Other/Raised blood pressure; 52.0 = Other/Bleeding due to low lying placenta (Placenta; 53.0 = Other/Accidental haemorrhage, abruption; 54.0 = Other/Other haemorrhage, origin or timing unclear; 55.0 = Other/Cord around neck etc; 56.0 = Other/Head at the back (Occipitoposterior); 57.0 = Other/Baby s head too big/mother s pelvis too small; 58.0 = Other/Unable to push baby out (Uterine inertia); 59.0 = Other/Delay in labour, cervical; 60.0 = Other/Delay in labour, insufficient or partial; 61.0 = Other/Severe maternal distress; 62.0 = Other/Baby ill, at or after birth, without mention; 63.0 = Other/Maternal or placental problem post delivery; 64.0 = Other/Breech delivery other than footling; 65.0 = Other/Baby born early, premature, low birthweight; 66.0 = Other/Instrumentation, forceps, ventouse; 67.0 = Other/Infection in labour; 68.0 = Other/Failed induction; 69.0 = Other/Caesarian section; 70.0 = Other/Manual manipulation; 71.0 = Other/Early rupture of membranes; 85.0 = Other answer (not codeable 1-7, 51-71); 86.0 = Irrelevant response","Complications during labour MC4 : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = No complications; 2.0 = Breech birth - feet first; 3.0 = Other abnormal lie eg shoulder first; 4.0 = Very long labour; 5.0 = Very rapid labour; 6.0 = Foetal distress - Heart rate sign; 7.0 = Foetal distress - Meconium. other; 51.0 = Other/Raised blood pressure; 52.0 = Other/Bleeding due to low lying placenta (Placenta; 53.0 = Other/Accidental haemorrhage, abruption; 54.0 = Other/Other haemorrhage, origin or timing unclear; 55.0 = Other/Cord around neck etc; 56.0 = Other/Head at the back (Occipitoposterior); 57.0 = Other/Baby s head too big/mother s pelvis too small; 58.0 = Other/Unable to push baby out (Uterine inertia); 59.0 = Other/Delay in labour, cervical; 60.0 = Other/Delay in labour, insufficient or partial; 61.0 = Other/Severe maternal distress; 62.0 = Other/Baby ill, at or after birth, without mention; 63.0 = Other/Maternal or placental problem post delivery; 64.0 = Other/Breech delivery other than footling; 65.0 = Other/Baby born early, premature, low birthweight; 66.0 = Other/Instrumentation, forceps, ventouse; 67.0 = Other/Infection in labour; 68.0 = Other/Failed induction; 69.0 = Other/Caesarian section; 70.0 = Other/Manual manipulation; 71.0 = Other/Early rupture of membranes; 85.0 = Other answer (not codeable 1-7, 51-71); 86.0 = Irrelevant response"
APPRLM0E,Complications during labour MC5 ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = No complications; 2.0 = Breech birth - feet first; 3.0 = Other abnormal lie eg shoulder first; 4.0 = Very long labour; 5.0 = Very rapid labour; 6.0 = Foetal distress - Heart rate sign; 7.0 = Foetal distress - Meconium. other; 51.0 = Other/Raised blood pressure; 52.0 = Other/Bleeding due to low lying placenta (Placenta; 53.0 = Other/Accidental haemorrhage, abruption; 54.0 = Other/Other haemorrhage, origin or timing unclear; 55.0 = Other/Cord around neck etc; 56.0 = Other/Head at the back (Occipitoposterior); 57.0 = Other/Baby s head too big/mother s pelvis too small; 58.0 = Other/Unable to push baby out (Uterine inertia); 59.0 = Other/Delay in labour, cervical; 60.0 = Other/Delay in labour, insufficient or partial; 61.0 = Other/Severe maternal distress; 62.0 = Other/Baby ill, at or after birth, without mention; 63.0 = Other/Maternal or placental problem post delivery; 64.0 = Other/Breech delivery other than footling; 65.0 = Other/Baby born early, premature, low birthweight; 66.0 = Other/Instrumentation, forceps, ventouse; 67.0 = Other/Infection in labour; 68.0 = Other/Failed induction; 69.0 = Other/Caesarian section; 70.0 = Other/Manual manipulation; 71.0 = Other/Early rupture of membranes; 85.0 = Other answer (not codeable 1-7, 51-71); 86.0 = Irrelevant response","Complications during labour MC5 : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = No complications; 2.0 = Breech birth - feet first; 3.0 = Other abnormal lie eg shoulder first; 4.0 = Very long labour; 5.0 = Very rapid labour; 6.0 = Foetal distress - Heart rate sign; 7.0 = Foetal distress - Meconium. other; 51.0 = Other/Raised blood pressure; 52.0 = Other/Bleeding due to low lying placenta (Placenta; 53.0 = Other/Accidental haemorrhage, abruption; 54.0 = Other/Other haemorrhage, origin or timing unclear; 55.0 = Other/Cord around neck etc; 56.0 = Other/Head at the back (Occipitoposterior); 57.0 = Other/Baby s head too big/mother s pelvis too small; 58.0 = Other/Unable to push baby out (Uterine inertia); 59.0 = Other/Delay in labour, cervical; 60.0 = Other/Delay in labour, insufficient or partial; 61.0 = Other/Severe maternal distress; 62.0 = Other/Baby ill, at or after birth, without mention; 63.0 = Other/Maternal or placental problem post delivery; 64.0 = Other/Breech delivery other than footling; 65.0 = Other/Baby born early, premature, low birthweight; 66.0 = Other/Instrumentation, forceps, ventouse; 67.0 = Other/Infection in labour; 68.0 = Other/Failed induction; 69.0 = Other/Caesarian section; 70.0 = Other/Manual manipulation; 71.0 = Other/Early rupture of membranes; 85.0 = Other answer (not codeable 1-7, 51-71); 86.0 = Irrelevant response"
APICUN00,Whether baby went to special care etc   ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,Whether baby went to special care etc   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes
APICSH00,Was baby in special care etc in same hospital   ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Same hospital,Was baby in special care etc in same hospital   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Same hospital
APAGCH00,Age baby came home from hospital (unit) ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 0.0 = Less than one day; 1.0 = Days; 2.0 = Weeks; 3.0 = Months,Age baby came home from hospital (unit) : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 0.0 = Less than one day; 1.0 = Days; 2.0 = Weeks; 3.0 = Months
APAGDA00,Age baby came home from hospital (days) ,-9.0 = Refusal; -8.0 = Don't Know,Age baby came home from hospital (days) : -9.0 = Refusal; -8.0 = Don't Know
APAGWK00,Age baby came home from hospital (weeks),-9.0 = Refusal; -8.0 = Don't Know,Age baby came home from hospital (weeks): -9.0 = Refusal; -8.0 = Don't Know
APAGMT00,Age baby came home from hospital (months)   ,-9.0 = Refusal; -8.0 = Don't Know,Age baby came home from hospital (months)   : -9.0 = Refusal; -8.0 = Don't Know
APWRBM0AR,Problems at birth or in first week MC1 recoded  ,"-9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not applicable; 1.0 = No problems; 2.0 = Delay in breathing at birth; 3.0 = Breathing difficulty or distress in first week; 4.0 = Jaundice requiring hospital treatment; 5.0 = Infection or suspected infection; 51.0 = Other/Low body temperature; 52.0 = Other/Low blood sugar level; 53.0 = Other/Cord around neck; 54.0 = Other/Birth injury; 55.0 = Other/Meconium, mucus or fluid aspiration, heart; 56.0 = Other/Failure to thrive, excess loss of weight; 57.0 = Other/Mention of intensive care, special care unit,; 58.0 = Other/Tube fed, nasogastric feeds; 59.0 = Other/Other feeding problems, vomiting; 60.0 = Other/Other major procedures, transfusion,; 61.0 = Other/Maternal problem without mention of baby; 62.0 = Other/Born early, premature, low birth weight; 63.0 = Other/Convulsions, fits, jittery; 70.0 = Other/Congenital heart disease, definite; 71.0 = Other/Congenital heart disease, not yet definite; 72.0 = Other/Congenital dislocation of hip, definite; 73.0 = Other/Congenital dislocation of hip, not yet; 74.0 = Other/Clubfoot (Talipes equinovarus), definite; 75.0 = Other/Talipes, not yet definite; 76.0 = Other/Specified skeletal abnormalities; 77.0 = Other/Urogenital abnormalities; 78.0 = Other/Gastrointestinal abnormalities; 79.0 = Other/Harelip/cleft palate; 80.0 = Other/Skin abnormalities; 81.0 = Other/Chromosomal or genetic abnormalities; 82.0 = Other/Brain, central nervous, spinal cord or; 83.0 = Other/Other congenital abnormalities major; 84.0 = Other/Other congenital abnormalities minor; 85.0 = Other answer (not codeable 1-5, 51-63,; 86.0 = Irrelevant response; 94.0 = Other problems in first week; 95.0 = Other problems at birth","Problems at birth or in first week MC1 recoded  : -9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not applicable; 1.0 = No problems; 2.0 = Delay in breathing at birth; 3.0 = Breathing difficulty or distress in first week; 4.0 = Jaundice requiring hospital treatment; 5.0 = Infection or suspected infection; 51.0 = Other/Low body temperature; 52.0 = Other/Low blood sugar level; 53.0 = Other/Cord around neck; 54.0 = Other/Birth injury; 55.0 = Other/Meconium, mucus or fluid aspiration, heart; 56.0 = Other/Failure to thrive, excess loss of weight; 57.0 = Other/Mention of intensive care, special care unit,; 58.0 = Other/Tube fed, nasogastric feeds; 59.0 = Other/Other feeding problems, vomiting; 60.0 = Other/Other major procedures, transfusion,; 61.0 = Other/Maternal problem without mention of baby; 62.0 = Other/Born early, premature, low birth weight; 63.0 = Other/Convulsions, fits, jittery; 70.0 = Other/Congenital heart disease, definite; 71.0 = Other/Congenital heart disease, not yet definite; 72.0 = Other/Congenital dislocation of hip, definite; 73.0 = Other/Congenital dislocation of hip, not yet; 74.0 = Other/Clubfoot (Talipes equinovarus), definite; 75.0 = Other/Talipes, not yet definite; 76.0 = Other/Specified skeletal abnormalities; 77.0 = Other/Urogenital abnormalities; 78.0 = Other/Gastrointestinal abnormalities; 79.0 = Other/Harelip/cleft palate; 80.0 = Other/Skin abnormalities; 81.0 = Other/Chromosomal or genetic abnormalities; 82.0 = Other/Brain, central nervous, spinal cord or; 83.0 = Other/Other congenital abnormalities major; 84.0 = Other/Other congenital abnormalities minor; 85.0 = Other answer (not codeable 1-5, 51-63,; 86.0 = Irrelevant response; 94.0 = Other problems in first week; 95.0 = Other problems at birth"
APWRBM0BR,Problems at birth or in first week MC2 recoded  ,"-9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not applicable; 1.0 = No problems; 2.0 = Delay in breathing at birth; 3.0 = Breathing difficulty or distress in first week; 4.0 = Jaundice requiring hospital treatment; 5.0 = Infection or suspected infection; 51.0 = Other/Low body temperature; 52.0 = Other/Low blood sugar level; 53.0 = Other/Cord around neck; 54.0 = Other/Birth injury; 55.0 = Other/Meconium, mucus or fluid aspiration, heart; 56.0 = Other/Failure to thrive, excess loss of weight; 57.0 = Other/Mention of intensive care, special care unit,; 58.0 = Other/Tube fed, nasogastric feeds; 59.0 = Other/Other feeding problems, vomiting; 60.0 = Other/Other major procedures, transfusion,; 61.0 = Other/Maternal problem without mention of baby; 62.0 = Other/Born early, premature, low birth weight; 63.0 = Other/Convulsions, fits, jittery; 70.0 = Other/Congenital heart disease, definite; 71.0 = Other/Congenital heart disease, not yet definite; 72.0 = Other/Congenital dislocation of hip, definite; 73.0 = Other/Congenital dislocation of hip, not yet; 74.0 = Other/Clubfoot (Talipes equinovarus), definite; 75.0 = Other/Talipes, not yet definite; 76.0 = Other/Specified skeletal abnormalities; 77.0 = Other/Urogenital abnormalities; 78.0 = Other/Gastrointestinal abnormalities; 79.0 = Other/Harelip/cleft palate; 80.0 = Other/Skin abnormalities; 81.0 = Other/Chromosomal or genetic abnormalities; 82.0 = Other/Brain, central nervous, spinal cord or; 83.0 = Other/Other congenital abnormalities major; 84.0 = Other/Other congenital abnormalities minor; 85.0 = Other answer (not codeable 1-5, 51-63,; 86.0 = Irrelevant response; 94.0 = Other problems in first week; 95.0 = Other problems at birth","Problems at birth or in first week MC2 recoded  : -9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not applicable; 1.0 = No problems; 2.0 = Delay in breathing at birth; 3.0 = Breathing difficulty or distress in first week; 4.0 = Jaundice requiring hospital treatment; 5.0 = Infection or suspected infection; 51.0 = Other/Low body temperature; 52.0 = Other/Low blood sugar level; 53.0 = Other/Cord around neck; 54.0 = Other/Birth injury; 55.0 = Other/Meconium, mucus or fluid aspiration, heart; 56.0 = Other/Failure to thrive, excess loss of weight; 57.0 = Other/Mention of intensive care, special care unit,; 58.0 = Other/Tube fed, nasogastric feeds; 59.0 = Other/Other feeding problems, vomiting; 60.0 = Other/Other major procedures, transfusion,; 61.0 = Other/Maternal problem without mention of baby; 62.0 = Other/Born early, premature, low birth weight; 63.0 = Other/Convulsions, fits, jittery; 70.0 = Other/Congenital heart disease, definite; 71.0 = Other/Congenital heart disease, not yet definite; 72.0 = Other/Congenital dislocation of hip, definite; 73.0 = Other/Congenital dislocation of hip, not yet; 74.0 = Other/Clubfoot (Talipes equinovarus), definite; 75.0 = Other/Talipes, not yet definite; 76.0 = Other/Specified skeletal abnormalities; 77.0 = Other/Urogenital abnormalities; 78.0 = Other/Gastrointestinal abnormalities; 79.0 = Other/Harelip/cleft palate; 80.0 = Other/Skin abnormalities; 81.0 = Other/Chromosomal or genetic abnormalities; 82.0 = Other/Brain, central nervous, spinal cord or; 83.0 = Other/Other congenital abnormalities major; 84.0 = Other/Other congenital abnormalities minor; 85.0 = Other answer (not codeable 1-5, 51-63,; 86.0 = Irrelevant response; 94.0 = Other problems in first week; 95.0 = Other problems at birth"
APWRBM0CR,Problems at birth or in first week MC3 recoded  ,"-9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not applicable; 1.0 = No problems; 2.0 = Delay in breathing at birth; 3.0 = Breathing difficulty or distress in first week; 4.0 = Jaundice requiring hospital treatment; 5.0 = Infection or suspected infection; 51.0 = Other/Low body temperature; 52.0 = Other/Low blood sugar level; 53.0 = Other/Cord around neck; 54.0 = Other/Birth injury; 55.0 = Other/Meconium, mucus or fluid aspiration, heart; 56.0 = Other/Failure to thrive, excess loss of weight; 57.0 = Other/Mention of intensive care, special care unit,; 58.0 = Other/Tube fed, nasogastric feeds; 59.0 = Other/Other feeding problems, vomiting; 60.0 = Other/Other major procedures, transfusion,; 61.0 = Other/Maternal problem without mention of baby; 62.0 = Other/Born early, premature, low birth weight; 63.0 = Other/Convulsions, fits, jittery; 70.0 = Other/Congenital heart disease, definite; 71.0 = Other/Congenital heart disease, not yet definite; 72.0 = Other/Congenital dislocation of hip, definite; 73.0 = Other/Congenital dislocation of hip, not yet; 74.0 = Other/Clubfoot (Talipes equinovarus), definite; 75.0 = Other/Talipes, not yet definite; 76.0 = Other/Specified skeletal abnormalities; 77.0 = Other/Urogenital abnormalities; 78.0 = Other/Gastrointestinal abnormalities; 79.0 = Other/Harelip/cleft palate; 80.0 = Other/Skin abnormalities; 81.0 = Other/Chromosomal or genetic abnormalities; 82.0 = Other/Brain, central nervous, spinal cord or; 83.0 = Other/Other congenital abnormalities major; 84.0 = Other/Other congenital abnormalities minor; 85.0 = Other answer (not codeable 1-5, 51-63,; 86.0 = Irrelevant response; 94.0 = Other problems in first week; 95.0 = Other problems at birth","Problems at birth or in first week MC3 recoded  : -9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not applicable; 1.0 = No problems; 2.0 = Delay in breathing at birth; 3.0 = Breathing difficulty or distress in first week; 4.0 = Jaundice requiring hospital treatment; 5.0 = Infection or suspected infection; 51.0 = Other/Low body temperature; 52.0 = Other/Low blood sugar level; 53.0 = Other/Cord around neck; 54.0 = Other/Birth injury; 55.0 = Other/Meconium, mucus or fluid aspiration, heart; 56.0 = Other/Failure to thrive, excess loss of weight; 57.0 = Other/Mention of intensive care, special care unit,; 58.0 = Other/Tube fed, nasogastric feeds; 59.0 = Other/Other feeding problems, vomiting; 60.0 = Other/Other major procedures, transfusion,; 61.0 = Other/Maternal problem without mention of baby; 62.0 = Other/Born early, premature, low birth weight; 63.0 = Other/Convulsions, fits, jittery; 70.0 = Other/Congenital heart disease, definite; 71.0 = Other/Congenital heart disease, not yet definite; 72.0 = Other/Congenital dislocation of hip, definite; 73.0 = Other/Congenital dislocation of hip, not yet; 74.0 = Other/Clubfoot (Talipes equinovarus), definite; 75.0 = Other/Talipes, not yet definite; 76.0 = Other/Specified skeletal abnormalities; 77.0 = Other/Urogenital abnormalities; 78.0 = Other/Gastrointestinal abnormalities; 79.0 = Other/Harelip/cleft palate; 80.0 = Other/Skin abnormalities; 81.0 = Other/Chromosomal or genetic abnormalities; 82.0 = Other/Brain, central nervous, spinal cord or; 83.0 = Other/Other congenital abnormalities major; 84.0 = Other/Other congenital abnormalities minor; 85.0 = Other answer (not codeable 1-5, 51-63,; 86.0 = Irrelevant response; 94.0 = Other problems in first week; 95.0 = Other problems at birth"
APWRBM0DR,Problems at birth or in first week MC4 recoded  ,"-9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not applicable; 1.0 = No problems; 2.0 = Delay in breathing at birth; 3.0 = Breathing difficulty or distress in first week; 4.0 = Jaundice requiring hospital treatment; 5.0 = Infection or suspected infection; 51.0 = Other/Low body temperature; 52.0 = Other/Low blood sugar level; 53.0 = Other/Cord around neck; 54.0 = Other/Birth injury; 55.0 = Other/Meconium, mucus or fluid aspiration, heart; 56.0 = Other/Failure to thrive, excess loss of weight; 57.0 = Other/Mention of intensive care, special care unit,; 58.0 = Other/Tube fed, nasogastric feeds; 59.0 = Other/Other feeding problems, vomiting; 60.0 = Other/Other major procedures, transfusion,; 61.0 = Other/Maternal problem without mention of baby; 62.0 = Other/Born early, premature, low birth weight; 63.0 = Other/Convulsions, fits, jittery; 70.0 = Other/Congenital heart disease, definite; 71.0 = Other/Congenital heart disease, not yet definite; 72.0 = Other/Congenital dislocation of hip, definite; 73.0 = Other/Congenital dislocation of hip, not yet; 74.0 = Other/Clubfoot (Talipes equinovarus), definite; 75.0 = Other/Talipes, not yet definite; 76.0 = Other/Specified skeletal abnormalities; 77.0 = Other/Urogenital abnormalities; 78.0 = Other/Gastrointestinal abnormalities; 79.0 = Other/Harelip/cleft palate; 80.0 = Other/Skin abnormalities; 81.0 = Other/Chromosomal or genetic abnormalities; 82.0 = Other/Brain, central nervous, spinal cord or; 83.0 = Other/Other congenital abnormalities major; 84.0 = Other/Other congenital abnormalities minor; 85.0 = Other answer (not codeable 1-5, 51-63,; 86.0 = Irrelevant response; 94.0 = Other problems in first week; 95.0 = Other problems at birth","Problems at birth or in first week MC4 recoded  : -9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not applicable; 1.0 = No problems; 2.0 = Delay in breathing at birth; 3.0 = Breathing difficulty or distress in first week; 4.0 = Jaundice requiring hospital treatment; 5.0 = Infection or suspected infection; 51.0 = Other/Low body temperature; 52.0 = Other/Low blood sugar level; 53.0 = Other/Cord around neck; 54.0 = Other/Birth injury; 55.0 = Other/Meconium, mucus or fluid aspiration, heart; 56.0 = Other/Failure to thrive, excess loss of weight; 57.0 = Other/Mention of intensive care, special care unit,; 58.0 = Other/Tube fed, nasogastric feeds; 59.0 = Other/Other feeding problems, vomiting; 60.0 = Other/Other major procedures, transfusion,; 61.0 = Other/Maternal problem without mention of baby; 62.0 = Other/Born early, premature, low birth weight; 63.0 = Other/Convulsions, fits, jittery; 70.0 = Other/Congenital heart disease, definite; 71.0 = Other/Congenital heart disease, not yet definite; 72.0 = Other/Congenital dislocation of hip, definite; 73.0 = Other/Congenital dislocation of hip, not yet; 74.0 = Other/Clubfoot (Talipes equinovarus), definite; 75.0 = Other/Talipes, not yet definite; 76.0 = Other/Specified skeletal abnormalities; 77.0 = Other/Urogenital abnormalities; 78.0 = Other/Gastrointestinal abnormalities; 79.0 = Other/Harelip/cleft palate; 80.0 = Other/Skin abnormalities; 81.0 = Other/Chromosomal or genetic abnormalities; 82.0 = Other/Brain, central nervous, spinal cord or; 83.0 = Other/Other congenital abnormalities major; 84.0 = Other/Other congenital abnormalities minor; 85.0 = Other answer (not codeable 1-5, 51-63,; 86.0 = Irrelevant response; 94.0 = Other problems in first week; 95.0 = Other problems at birth"
APWRBM0ER,Problems at birth or in first week MC5 recoded  ,"-9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not applicable; 1.0 = No problems; 2.0 = Delay in breathing at birth; 3.0 = Breathing difficulty or distress in first week; 4.0 = Jaundice requiring hospital treatment; 5.0 = Infection or suspected infection; 51.0 = Other/Low body temperature; 52.0 = Other/Low blood sugar level; 53.0 = Other/Cord around neck; 54.0 = Other/Birth injury; 55.0 = Other/Meconium, mucus or fluid aspiration, heart; 56.0 = Other/Failure to thrive, excess loss of weight; 57.0 = Other/Mention of intensive care, special care unit,; 58.0 = Other/Tube fed, nasogastric feeds; 59.0 = Other/Other feeding problems, vomiting; 60.0 = Other/Other major procedures, transfusion,; 61.0 = Other/Maternal problem without mention of baby; 62.0 = Other/Born early, premature, low birth weight; 63.0 = Other/Convulsions, fits, jittery; 70.0 = Other/Congenital heart disease, definite; 71.0 = Other/Congenital heart disease, not yet definite; 72.0 = Other/Congenital dislocation of hip, definite; 73.0 = Other/Congenital dislocation of hip, not yet; 74.0 = Other/Clubfoot (Talipes equinovarus), definite; 75.0 = Other/Talipes, not yet definite; 76.0 = Other/Specified skeletal abnormalities; 77.0 = Other/Urogenital abnormalities; 78.0 = Other/Gastrointestinal abnormalities; 79.0 = Other/Harelip/cleft palate; 80.0 = Other/Skin abnormalities; 81.0 = Other/Chromosomal or genetic abnormalities; 82.0 = Other/Brain, central nervous, spinal cord or; 83.0 = Other/Other congenital abnormalities major; 84.0 = Other/Other congenital abnormalities minor; 85.0 = Other answer (not codeable 1-5, 51-63,; 86.0 = Irrelevant response; 94.0 = Other problems in first week; 95.0 = Other problems at birth","Problems at birth or in first week MC5 recoded  : -9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not applicable; 1.0 = No problems; 2.0 = Delay in breathing at birth; 3.0 = Breathing difficulty or distress in first week; 4.0 = Jaundice requiring hospital treatment; 5.0 = Infection or suspected infection; 51.0 = Other/Low body temperature; 52.0 = Other/Low blood sugar level; 53.0 = Other/Cord around neck; 54.0 = Other/Birth injury; 55.0 = Other/Meconium, mucus or fluid aspiration, heart; 56.0 = Other/Failure to thrive, excess loss of weight; 57.0 = Other/Mention of intensive care, special care unit,; 58.0 = Other/Tube fed, nasogastric feeds; 59.0 = Other/Other feeding problems, vomiting; 60.0 = Other/Other major procedures, transfusion,; 61.0 = Other/Maternal problem without mention of baby; 62.0 = Other/Born early, premature, low birth weight; 63.0 = Other/Convulsions, fits, jittery; 70.0 = Other/Congenital heart disease, definite; 71.0 = Other/Congenital heart disease, not yet definite; 72.0 = Other/Congenital dislocation of hip, definite; 73.0 = Other/Congenital dislocation of hip, not yet; 74.0 = Other/Clubfoot (Talipes equinovarus), definite; 75.0 = Other/Talipes, not yet definite; 76.0 = Other/Specified skeletal abnormalities; 77.0 = Other/Urogenital abnormalities; 78.0 = Other/Gastrointestinal abnormalities; 79.0 = Other/Harelip/cleft palate; 80.0 = Other/Skin abnormalities; 81.0 = Other/Chromosomal or genetic abnormalities; 82.0 = Other/Brain, central nervous, spinal cord or; 83.0 = Other/Other congenital abnormalities major; 84.0 = Other/Other congenital abnormalities minor; 85.0 = Other answer (not codeable 1-5, 51-63,; 86.0 = Irrelevant response; 94.0 = Other problems in first week; 95.0 = Other problems at birth"
