echo_variable_name,echo_variable_label,echo_variable_value_coded_labels,combined_labels
air2_inf_f3g1a,3.g.1a. Has the child ever tried the food?: Shellfish,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.g.1a. Has the child ever tried the food?: Shellfish: Yes, No, Not applicable, Declined, Don’t know, Missing"
air2_inf_f3g1b,3.g.1b. At what age was the food introduced?: Shellfish,,3.g.1b. At what age was the food introduced?: Shellfish: 
air2_inf_f3g2,3.g.2. Do you believe the child has been allergic to the food?: Shellfish,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.g.2. Do you believe the child has been allergic to the food?: Shellfish: Yes, No, Not applicable, Declined, Don’t know, Missing"
air2_inf_f3g3,3.g.3. Has a doctor or healthcare provider said child is allergic to food?: Shellfish,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.g.3. Has a doctor or healthcare provider said child is allergic to food?: Shellfish: Yes, No, Not applicable, Declined, Don’t know, Missing"
air2_inf_f3g4,3.g.4. Age (in months) allergy to food first noticed: Shellfish,,3.g.4. Age (in months) allergy to food first noticed: Shellfish: 
air2_inf_f3g5,3.g.5. Still allergic to food?: Shellfish,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.g.5. Still allergic to food?: Shellfish: Yes, No, Not applicable, Declined, Don’t know, Missing"
air2_inf_f3h1a,3.h.1a. Has the child ever tried the food?: Fish,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.h.1a. Has the child ever tried the food?: Fish: Yes, No, Not applicable, Declined, Don’t know, Missing"
air2_inf_f3h1b,3.h.1b. At what age was the food introduced?: Fish,,3.h.1b. At what age was the food introduced?: Fish: 
air2_inf_f3h2,3.h.2. Do you believe the child has been allergic to the food?: Fish,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.h.2. Do you believe the child has been allergic to the food?: Fish: Yes, No, Not applicable, Declined, Don’t know, Missing"
air2_inf_f3h3,3.h.3. Has a doctor or healthcare provider said child is allergic to food?: Fish,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.h.3. Has a doctor or healthcare provider said child is allergic to food?: Fish: Yes, No, Not applicable, Declined, Don’t know, Missing"
air2_inf_f3h4,3.h.4. Age (in months) allergy to food first noticed: Fish,,3.h.4. Age (in months) allergy to food first noticed: Fish: 
air2_inf_f3h5,3.h.5. Still allergic to food?: Fish,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.h.5. Still allergic to food?: Fish: Yes, No, Not applicable, Declined, Don’t know, Missing"
xair2_inf_f3i_sp,"3.i.1a. Has the child ever tried the food?: Other Food 1, Specify (de-identified)",,"3.i.1a. Has the child ever tried the food?: Other Food 1, Specify (de-identified): "
air2_inf_f3i1a,3.i.1a. Has the child ever tried the food?: Other Food 1,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.i.1a. Has the child ever tried the food?: Other Food 1: Yes, No, Not applicable, Declined, Don’t know, Missing"
air2_inf_f3i1b,3.i.1b. At what age was the food introduced?: Other Food 1,,3.i.1b. At what age was the food introduced?: Other Food 1: 
air2_inf_f3i2,3.i.2. Do you believe the child has been allergic to the food?: Other Food 1,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.i.2. Do you believe the child has been allergic to the food?: Other Food 1: Yes, No, Not applicable, Declined, Don’t know, Missing"
air2_inf_f3i3,3.i.3. Has a doctor or healthcare provider said child is allergic to food?: Other Food 1,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.i.3. Has a doctor or healthcare provider said child is allergic to food?: Other Food 1: Yes, No, Not applicable, Declined, Don’t know, Missing"
air2_inf_f3i4,3.i.4. Age (in months) allergy to food first noticed: Other Food 1,,3.i.4. Age (in months) allergy to food first noticed: Other Food 1: 
air2_inf_f3i5,3.i.5. Still allergic to food?: Other Food 1,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.i.5. Still allergic to food?: Other Food 1: Yes, No, Not applicable, Declined, Don’t know, Missing"
xair2_inf_f3j_sp,"3.j.1a. Has the child ever tried the food?: Other Food 2, Specify (de-identified)",,"3.j.1a. Has the child ever tried the food?: Other Food 2, Specify (de-identified): "
air2_inf_f3j1a,3.j.1a. Has the child ever tried the food?: Other Food 2,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.j.1a. Has the child ever tried the food?: Other Food 2: Yes, No, Not applicable, Declined, Don’t know, Missing"
air2_inf_f3j1b,3.j.1b. At what age was the food introduced?: Other Food 2,,3.j.1b. At what age was the food introduced?: Other Food 2: 
air2_inf_f3j2,3.j.2. Do you believe the child has been allergic to the food?: Other Food 2,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.j.2. Do you believe the child has been allergic to the food?: Other Food 2: Yes, No, Not applicable, Declined, Don’t know, Missing"
air2_inf_f3j3,3.j.3. Has a doctor or healthcare provider said child is allergic to food?: Other Food 2,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.j.3. Has a doctor or healthcare provider said child is allergic to food?: Other Food 2: Yes, No, Not applicable, Declined, Don’t know, Missing"
air2_inf_f3j4,3.j.4. Age (in months) allergy to food first noticed: Other Food 2,,3.j.4. Age (in months) allergy to food first noticed: Other Food 2: 
air2_inf_f3j5,3.j.5. Still allergic to food?: Other Food 2,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.j.5. Still allergic to food?: Other Food 2: Yes, No, Not applicable, Declined, Don’t know, Missing"
air2_inf_f4a___8,"4.a. Reaction within 2 hours of eating, Egg: Loss of Consciousness","Loss of Consciousness: No, Loss of Consciousness: Yes","4.a. Reaction within 2 hours of eating, Egg: Loss of Consciousness: Loss of Consciousness: No, Loss of Consciousness: Yes"
air2_inf_f4b___8,"4.b. Reaction within 2 hours of eating, Cow's Milk: Loss of Consciousness","Loss of Consciousness: No, Loss of Consciousness: Yes","4.b. Reaction within 2 hours of eating, Cow's Milk: Loss of Consciousness: Loss of Consciousness: No, Loss of Consciousness: Yes"
air2_inf_f4c___8,"4.c. Reaction within 2 hours of eating, Peanut: Loss of Consciousness","Loss of Consciousness: No, Loss of Consciousness: Yes","4.c. Reaction within 2 hours of eating, Peanut: Loss of Consciousness: Loss of Consciousness: No, Loss of Consciousness: Yes"
air2_inf_f4d___1,"4.d. Reaction within 2 hours of eating, Tree nuts: No Reaction","No Reaction: No, No Reaction: Yes","4.d. Reaction within 2 hours of eating, Tree nuts: No Reaction: No Reaction: No, No Reaction: Yes"
air2_inf_f4d___2,"4.d. Reaction within 2 hours of eating, Tree nuts: Vomiting or Stomach Pain","Vomiting or Stomach Pain: No, Vomiting or Stomach Pain: Yes","4.d. Reaction within 2 hours of eating, Tree nuts: Vomiting or Stomach Pain: Vomiting or Stomach Pain: No, Vomiting or Stomach Pain: Yes"
air2_inf_f4d___3,"4.d. Reaction within 2 hours of eating, Tree nuts: Diarrhea","Diarrhea: No, Diarrhea: Yes","4.d. Reaction within 2 hours of eating, Tree nuts: Diarrhea: Diarrhea: No, Diarrhea: Yes"
air2_inf_f4d___4,"4.d. Reaction within 2 hours of eating, Tree nuts: Swelling","Swelling: No, Swelling: Yes","4.d. Reaction within 2 hours of eating, Tree nuts: Swelling: Swelling: No, Swelling: Yes"
air2_inf_f4d___5,"4.d. Reaction within 2 hours of eating, Tree nuts: Hives","Hives: No, Hives: Yes","4.d. Reaction within 2 hours of eating, Tree nuts: Hives: Hives: No, Hives: Yes"
air2_inf_f4d___6,"4.d. Reaction within 2 hours of eating, Tree nuts: Worsened eczema","Worsened eczema: No, Worsened eczema: Yes","4.d. Reaction within 2 hours of eating, Tree nuts: Worsened eczema: Worsened eczema: No, Worsened eczema: Yes"
air2_inf_f4d___7,"4.d. Reaction within 2 hours of eating, Tree nuts: Cough, wheeze, or chest tightness","Cough, wheeze, or chest tightness: No, Cough, wheeze, or chest tightness: Yes","4.d. Reaction within 2 hours of eating, Tree nuts: Cough, wheeze, or chest tightness: Cough, wheeze, or chest tightness: No, Cough, wheeze, or chest tightness: Yes"
air2_inf_f4d___8,"4.d. Reaction within 2 hours of eating, Tree nuts: Loss of Consciousness","Loss of Consciousness: No, Loss of Consciousness: Yes","4.d. Reaction within 2 hours of eating, Tree nuts: Loss of Consciousness: Loss of Consciousness: No, Loss of Consciousness: Yes"
air2_inf_f4d___9,"4.d. Reaction within 2 hours of eating, Tree nuts: Other reaction","Other reaction: No, Other reaction: Yes","4.d. Reaction within 2 hours of eating, Tree nuts: Other reaction: Other reaction: No, Other reaction: Yes"
air2_inf_f4e___8,"4.e. Reaction within 2 hours of eating, Wheat: Loss of Consciousness","Loss of Consciousness: No, Loss of Consciousness: Yes","4.e. Reaction within 2 hours of eating, Wheat: Loss of Consciousness: Loss of Consciousness: No, Loss of Consciousness: Yes"
air2_inf_f4f___8,"4.f. Reaction within 2 hours of eating, Soy: Loss of Consciousness","Loss of Consciousness: No, Loss of Consciousness: Yes","4.f. Reaction within 2 hours of eating, Soy: Loss of Consciousness: Loss of Consciousness: No, Loss of Consciousness: Yes"
air2_inf_f4g___1,"4.g. Reaction within 2 hours of eating, Shellfish: No Reaction","No Reaction: No, No Reaction: Yes","4.g. Reaction within 2 hours of eating, Shellfish: No Reaction: No Reaction: No, No Reaction: Yes"
air2_inf_f4g___2,"4.g. Reaction within 2 hours of eating, Shellfish: Vomiting or Stomach Pain","Vomiting or Stomach Pain: No, Vomiting or Stomach Pain: Yes","4.g. Reaction within 2 hours of eating, Shellfish: Vomiting or Stomach Pain: Vomiting or Stomach Pain: No, Vomiting or Stomach Pain: Yes"
air2_inf_f4g___3,"4.g. Reaction within 2 hours of eating, Shellfish: Diarrhea","Diarrhea: No, Diarrhea: Yes","4.g. Reaction within 2 hours of eating, Shellfish: Diarrhea: Diarrhea: No, Diarrhea: Yes"
air2_inf_f4g___4,"4.g. Reaction within 2 hours of eating, Shellfish: Swelling","Swelling: No, Swelling: Yes","4.g. Reaction within 2 hours of eating, Shellfish: Swelling: Swelling: No, Swelling: Yes"
air2_inf_f4g___5,"4.g. Reaction within 2 hours of eating, Shellfish: Hives","Hives: No, Hives: Yes","4.g. Reaction within 2 hours of eating, Shellfish: Hives: Hives: No, Hives: Yes"
air2_inf_f4g___6,"4.g. Reaction within 2 hours of eating, Shellfish: Worsened eczema","Worsened eczema: No, Worsened eczema: Yes","4.g. Reaction within 2 hours of eating, Shellfish: Worsened eczema: Worsened eczema: No, Worsened eczema: Yes"
air2_inf_f4g___7,"4.g. Reaction within 2 hours of eating, Shellfish: Cough, wheeze, or chest tightness","Cough, wheeze, or chest tightness: No, Cough, wheeze, or chest tightness: Yes","4.g. Reaction within 2 hours of eating, Shellfish: Cough, wheeze, or chest tightness: Cough, wheeze, or chest tightness: No, Cough, wheeze, or chest tightness: Yes"
air2_inf_f4g___8,"4.g. Reaction within 2 hours of eating, Shellfish: Loss of Consciousness","Loss of Consciousness: No, Loss of Consciousness: Yes","4.g. Reaction within 2 hours of eating, Shellfish: Loss of Consciousness: Loss of Consciousness: No, Loss of Consciousness: Yes"
air2_inf_f4g___9,"4.g. Reaction within 2 hours of eating, Shellfish: Other reaction","Other reaction: No, Other reaction: Yes","4.g. Reaction within 2 hours of eating, Shellfish: Other reaction: Other reaction: No, Other reaction: Yes"
air2_inf_f4h___1,"4.h. Reaction within 2 hours of eating, Fish: No Reaction","No Reaction: No, No Reaction: Yes","4.h. Reaction within 2 hours of eating, Fish: No Reaction: No Reaction: No, No Reaction: Yes"
air2_inf_f4h___2,"4.h. Reaction within 2 hours of eating, Fish: Vomiting or Stomach Pain","Vomiting or Stomach Pain: No, Vomiting or Stomach Pain: Yes","4.h. Reaction within 2 hours of eating, Fish: Vomiting or Stomach Pain: Vomiting or Stomach Pain: No, Vomiting or Stomach Pain: Yes"
air2_inf_f4h___3,"4.h. Reaction within 2 hours of eating, Fish: Diarrhea","Diarrhea: No, Diarrhea: Yes","4.h. Reaction within 2 hours of eating, Fish: Diarrhea: Diarrhea: No, Diarrhea: Yes"
air2_inf_f4h___4,"4.h. Reaction within 2 hours of eating, Fish: Swelling","Swelling: No, Swelling: Yes","4.h. Reaction within 2 hours of eating, Fish: Swelling: Swelling: No, Swelling: Yes"
air2_inf_f4h___5,"4.h. Reaction within 2 hours of eating, Fish: Hives","Hives: No, Hives: Yes","4.h. Reaction within 2 hours of eating, Fish: Hives: Hives: No, Hives: Yes"
air2_inf_f4h___6,"4.h. Reaction within 2 hours of eating, Fish: Worsened eczema","Worsened eczema: No, Worsened eczema: Yes","4.h. Reaction within 2 hours of eating, Fish: Worsened eczema: Worsened eczema: No, Worsened eczema: Yes"
air2_inf_f4h___7,"4.h. Reaction within 2 hours of eating, Fish: Cough, wheeze, or chest tightness","Cough, wheeze, or chest tightness: No, Cough, wheeze, or chest tightness: Yes","4.h. Reaction within 2 hours of eating, Fish: Cough, wheeze, or chest tightness: Cough, wheeze, or chest tightness: No, Cough, wheeze, or chest tightness: Yes"
air2_inf_f4h___8,"4.h. Reaction within 2 hours of eating, Fish: Loss of Consciousness","Loss of Consciousness: No, Loss of Consciousness: Yes","4.h. Reaction within 2 hours of eating, Fish: Loss of Consciousness: Loss of Consciousness: No, Loss of Consciousness: Yes"
air2_inf_f4h___9,"4.h. Reaction within 2 hours of eating, Fish: Other reaction","Other reaction: No, Other reaction: Yes","4.h. Reaction within 2 hours of eating, Fish: Other reaction: Other reaction: No, Other reaction: Yes"
air2_inf_f4i___1,"4.i. Reaction within 2 hours of eating, Other Food 1: [air2_inf_f3i_sp]: No Reaction","No Reaction: No, No Reaction: Yes","4.i. Reaction within 2 hours of eating, Other Food 1: [air2_inf_f3i_sp]: No Reaction: No Reaction: No, No Reaction: Yes"
air2_inf_f4i___2,"4.i. Reaction within 2 hours of eating, Other Food 1: [air2_inf_f3i_sp]: Vomiting or Stomach Pain","Vomiting or Stomach Pain: No, Vomiting or Stomach Pain: Yes","4.i. Reaction within 2 hours of eating, Other Food 1: [air2_inf_f3i_sp]: Vomiting or Stomach Pain: Vomiting or Stomach Pain: No, Vomiting or Stomach Pain: Yes"
air2_inf_f4i___3,"4.i. Reaction within 2 hours of eating, Other Food 1: [air2_inf_f3i_sp]: Diarrhea","Diarrhea: No, Diarrhea: Yes","4.i. Reaction within 2 hours of eating, Other Food 1: [air2_inf_f3i_sp]: Diarrhea: Diarrhea: No, Diarrhea: Yes"
air2_inf_f4i___4,"4.i. Reaction within 2 hours of eating, Other Food 1: [air2_inf_f3i_sp]: Swelling","Swelling: No, Swelling: Yes","4.i. Reaction within 2 hours of eating, Other Food 1: [air2_inf_f3i_sp]: Swelling: Swelling: No, Swelling: Yes"
air2_inf_f4i___5,"4.i. Reaction within 2 hours of eating, Other Food 1: [air2_inf_f3i_sp]: Hives","Hives: No, Hives: Yes","4.i. Reaction within 2 hours of eating, Other Food 1: [air2_inf_f3i_sp]: Hives: Hives: No, Hives: Yes"
air2_inf_f4i___6,"4.i. Reaction within 2 hours of eating, Other Food 1: [air2_inf_f3i_sp]: Worsened eczema","Worsened eczema: No, Worsened eczema: Yes","4.i. Reaction within 2 hours of eating, Other Food 1: [air2_inf_f3i_sp]: Worsened eczema: Worsened eczema: No, Worsened eczema: Yes"
air2_inf_f4i___7,"4.i. Reaction within 2 hours of eating, Other Food 1: [air2_inf_f3i_sp]: Cough, wheeze, or chest tightness","Cough, wheeze, or chest tightness: No, Cough, wheeze, or chest tightness: Yes","4.i. Reaction within 2 hours of eating, Other Food 1: [air2_inf_f3i_sp]: Cough, wheeze, or chest tightness: Cough, wheeze, or chest tightness: No, Cough, wheeze, or chest tightness: Yes"
air2_inf_f4i___8,"4.i. Reaction within 2 hours of eating, Other Food 1: [air2_inf_f3i_sp]: Loss of Consciousness","Loss of Consciousness: No, Loss of Consciousness: Yes","4.i. Reaction within 2 hours of eating, Other Food 1: [air2_inf_f3i_sp]: Loss of Consciousness: Loss of Consciousness: No, Loss of Consciousness: Yes"
air2_inf_f4i___9,"4.i. Reaction within 2 hours of eating, Other Food 1: [air2_inf_f3i_sp]: Other reaction","Other reaction: No, Other reaction: Yes","4.i. Reaction within 2 hours of eating, Other Food 1: [air2_inf_f3i_sp]: Other reaction: Other reaction: No, Other reaction: Yes"
air2_inf_f4j___1,"4.j. Reaction within 2 hours of eating, Other Food 2: [air2_inf_f3j_sp]: No Reaction","No Reaction: No, No Reaction: Yes","4.j. Reaction within 2 hours of eating, Other Food 2: [air2_inf_f3j_sp]: No Reaction: No Reaction: No, No Reaction: Yes"
air2_inf_f4j___2,"4.j. Reaction within 2 hours of eating, Other Food 2: [air2_inf_f3j_sp]: Vomiting or Stomach Pain","Vomiting or Stomach Pain: No, Vomiting or Stomach Pain: Yes","4.j. Reaction within 2 hours of eating, Other Food 2: [air2_inf_f3j_sp]: Vomiting or Stomach Pain: Vomiting or Stomach Pain: No, Vomiting or Stomach Pain: Yes"
air2_inf_f4j___3,"4.j. Reaction within 2 hours of eating, Other Food 2: [air2_inf_f3j_sp]: Diarrhea","Diarrhea: No, Diarrhea: Yes","4.j. Reaction within 2 hours of eating, Other Food 2: [air2_inf_f3j_sp]: Diarrhea: Diarrhea: No, Diarrhea: Yes"
air2_inf_f4j___4,"4.j. Reaction within 2 hours of eating, Other Food 2: [air2_inf_f3j_sp]: Swelling","Swelling: No, Swelling: Yes","4.j. Reaction within 2 hours of eating, Other Food 2: [air2_inf_f3j_sp]: Swelling: Swelling: No, Swelling: Yes"
air2_inf_f4j___5,"4.j. Reaction within 2 hours of eating, Other Food 2: [air2_inf_f3j_sp]: Hives","Hives: No, Hives: Yes","4.j. Reaction within 2 hours of eating, Other Food 2: [air2_inf_f3j_sp]: Hives: Hives: No, Hives: Yes"
air2_inf_f4j___6,"4.j. Reaction within 2 hours of eating, Other Food 2: [air2_inf_f3j_sp]: Worsened eczema","Worsened eczema: No, Worsened eczema: Yes","4.j. Reaction within 2 hours of eating, Other Food 2: [air2_inf_f3j_sp]: Worsened eczema: Worsened eczema: No, Worsened eczema: Yes"
air2_inf_f4j___7,"4.j. Reaction within 2 hours of eating, Other Food 2: [air2_inf_f3j_sp]: Cough, wheeze, or chest tightness","Cough, wheeze, or chest tightness: No, Cough, wheeze, or chest tightness: Yes","4.j. Reaction within 2 hours of eating, Other Food 2: [air2_inf_f3j_sp]: Cough, wheeze, or chest tightness: Cough, wheeze, or chest tightness: No, Cough, wheeze, or chest tightness: Yes"
air2_inf_f4j___8,"4.j. Reaction within 2 hours of eating, Other Food 2: [air2_inf_f3j_sp]: Loss of Consciousness","Loss of Consciousness: No, Loss of Consciousness: Yes","4.j. Reaction within 2 hours of eating, Other Food 2: [air2_inf_f3j_sp]: Loss of Consciousness: Loss of Consciousness: No, Loss of Consciousness: Yes"
air2_inf_f4j___9,"4.j. Reaction within 2 hours of eating, Other Food 2: [air2_inf_f3j_sp]: Other reaction","Other reaction: No, Other reaction: Yes","4.j. Reaction within 2 hours of eating, Other Food 2: [air2_inf_f3j_sp]: Other reaction: Other reaction: No, Other reaction: Yes"
air_inf_a1,1.   Has the child ever had wheezing or whistling in the chest at any time in the past?,"Yes, No, Not applicable, Declined, Don't know, Missing","1.   Has the child ever had wheezing or whistling in the chest at any time in the past?: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_a1a, 1.a. How many attacks of wheezing has the child had?,"None, 1, 2, 3, 4 or more, Not applicable, Declined, Don't know, Missing"," 1.a. How many attacks of wheezing has the child had?: None, 1, 2, 3, 4 or more, Not applicable, Declined, Don't know, Missing"
air_inf_a1b," 1.b. How often, on average, has the child's sleep been disturbed due to wheezing?","Never woken with wheezing, Less than one time per week, One or more times per week, Not applicable, Declined, Don't know, Missing"," 1.b. How often, on average, has the child's sleep been disturbed due to wheezing?: Never woken with wheezing, Less than one time per week, One or more times per week, Not applicable, Declined, Don't know, Missing"
air_inf_a1c, 1.c. Has wheezing ever been severe enough to limit the child's food or fluid intake?,"Yes, No, Not applicable, Declined, Don't know, Missing"," 1.c. Has wheezing ever been severe enough to limit the child's food or fluid intake?: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_a2,"2. Has the child had a dry cough during sleep, apart from a cough associated with a cold or chest infection?","Yes, No, Not applicable, Declined, Don't know, Missing","2. Has the child had a dry cough during sleep, apart from a cough associated with a cold or chest infection?: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_a2a___01,2.a. In which of the past month(s) did this cough occur? [Check all that apply]: January,"January: No, January: Yes","2.a. In which of the past month(s) did this cough occur? [Check all that apply]: January: January: No, January: Yes"
air_inf_a2a___02,2.a. In which of the past month(s) did this cough occur? [Check all that apply]: February,"February: No, February: Yes","2.a. In which of the past month(s) did this cough occur? [Check all that apply]: February: February: No, February: Yes"
air_inf_a2a___03,2.a. In which of the past month(s) did this cough occur? [Check all that apply]: March,"March: No, March: Yes","2.a. In which of the past month(s) did this cough occur? [Check all that apply]: March: March: No, March: Yes"
air_inf_a2a___04,2.a. In which of the past month(s) did this cough occur? [Check all that apply]: April,"April: No, April: Yes","2.a. In which of the past month(s) did this cough occur? [Check all that apply]: April: April: No, April: Yes"
air_inf_a2a___05,2.a. In which of the past month(s) did this cough occur? [Check all that apply]: May,"May: No, May: Yes","2.a. In which of the past month(s) did this cough occur? [Check all that apply]: May: May: No, May: Yes"
air_inf_a2a___06,2.a. In which of the past month(s) did this cough occur? [Check all that apply]: June,"June: No, June: Yes","2.a. In which of the past month(s) did this cough occur? [Check all that apply]: June: June: No, June: Yes"
air_inf_a2a___07,2.a. In which of the past month(s) did this cough occur? [Check all that apply]: July,"July: No, July: Yes","2.a. In which of the past month(s) did this cough occur? [Check all that apply]: July: July: No, July: Yes"
air_inf_a2a___08,2.a. In which of the past month(s) did this cough occur? [Check all that apply]: August,"August: No, August: Yes","2.a. In which of the past month(s) did this cough occur? [Check all that apply]: August: August: No, August: Yes"
air_inf_a2a___09,2.a. In which of the past month(s) did this cough occur? [Check all that apply]: September,"September: No, September: Yes","2.a. In which of the past month(s) did this cough occur? [Check all that apply]: September: September: No, September: Yes"
air_inf_a2a___10,2.a. In which of the past month(s) did this cough occur? [Check all that apply]: October,"October: No, October: Yes","2.a. In which of the past month(s) did this cough occur? [Check all that apply]: October: October: No, October: Yes"
air_inf_a2a___11,2.a. In which of the past month(s) did this cough occur? [Check all that apply]: November,"November: No, November: Yes","2.a. In which of the past month(s) did this cough occur? [Check all that apply]: November: November: No, November: Yes"
air_inf_a2a___12,2.a. In which of the past month(s) did this cough occur? [Check all that apply]: December,"December: No, December: Yes","2.a. In which of the past month(s) did this cough occur? [Check all that apply]: December: December: No, December: Yes"
air_inf_a3,3. Has the child ever been hospitalized overnight for a severe episode of wheezing or whistling in the chest at any time in the past?  [Do not include emergency room visits],"Yes, No, Not applicable, Declined, Don't know, Missing","3. Has the child ever been hospitalized overnight for a severe episode of wheezing or whistling in the chest at any time in the past?  [Do not include emergency room visits]: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_a3a,3.a. How many times has the child been hospitalized overnight for a severe episode of wheezing or whistling in the chest?  [Do not include emergency room visits],,3.a. How many times has the child been hospitalized overnight for a severe episode of wheezing or whistling in the chest?  [Do not include emergency room visits]: 
air_inf_a4,4. Has the child had to visit an emergency room or urgent care center because of a severe episode of wheezing of whistling in the chest?,"Yes, No, Not applicable, Declined, Don't know, Missing","4. Has the child had to visit an emergency room or urgent care center because of a severe episode of wheezing of whistling in the chest?: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_a4a,4.a. How many emergency room or urgent care center visits has the child had because of a severe episode of wheezing or whistling in the chest?,,4.a. How many emergency room or urgent care center visits has the child had because of a severe episode of wheezing or whistling in the chest?: 
air_inf_a5a,5a. What sets off or triggers any of the child's wheezing symptoms? Cats,"Yes, No, Not applicable, Declined, Don't know, Missing","5a. What sets off or triggers any of the child's wheezing symptoms? Cats: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_a5b,5b. What sets off or triggers any of the child's wheezing symptoms? Dogs,"Yes, No, Not applicable, Declined, Don't know, Missing","5b. What sets off or triggers any of the child's wheezing symptoms? Dogs: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_a5c,5c. What sets off or triggers any of the child's wheezing symptoms? Cigarette or cigar smoke,"Yes, No, Not applicable, Declined, Don't know, Missing","5c. What sets off or triggers any of the child's wheezing symptoms? Cigarette or cigar smoke: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_a5d,"5d. What sets off or triggers any of the child's wheezing symptoms? Indoor wood smoke (e.g., fireplaces, wood stoves","Yes, No, Not applicable, Declined, Don't know, Missing","5d. What sets off or triggers any of the child's wheezing symptoms? Indoor wood smoke (e.g., fireplaces, wood stoves: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_a5e,5e. What sets off or triggers any of the child's wheezing symptoms? Common cold or sinus infection,"Yes, No, Not applicable, Declined, Don't know, Missing","5e. What sets off or triggers any of the child's wheezing symptoms? Common cold or sinus infection: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_a5f,5f. What sets off or triggers any of the child's wheezing symptoms? Other,"Yes, No, Not applicable, Declined, Don't know, Missing","5f. What sets off or triggers any of the child's wheezing symptoms? Other: Yes, No, Not applicable, Declined, Don't know, Missing"
xair_inf_a5f_sp,"5f. What sets off or triggers any of the child's wheezing symptoms? Other, Specify (de-identified)",,"5f. What sets off or triggers any of the child's wheezing symptoms? Other, Specify (de-identified): "
air_inf_a6___01,6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: January,"January: No, January: Yes","6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: January: January: No, January: Yes"
air_inf_a6___02,6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: February,"February: No, February: Yes","6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: February: February: No, February: Yes"
air_inf_a6___03,6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: March,"March: No, March: Yes","6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: March: March: No, March: Yes"
air_inf_a6___04,6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: April,"April: No, April: Yes","6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: April: April: No, April: Yes"
air_inf_a6___05,6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: May,"May: No, May: Yes","6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: May: May: No, May: Yes"
air_inf_a6___06,6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: June,"June: No, June: Yes","6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: June: June: No, June: Yes"
air_inf_a6___07,6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: July,"July: No, July: Yes","6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: July: July: No, July: Yes"
air_inf_a6___08,6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: August,"August: No, August: Yes","6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: August: August: No, August: Yes"
air_inf_a6___09,6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: September,"September: No, September: Yes","6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: September: September: No, September: Yes"
air_inf_a6___10,6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: October,"October: No, October: Yes","6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: October: October: No, October: Yes"
air_inf_a6___11,6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: November,"November: No, November: Yes","6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: November: November: No, November: Yes"
air_inf_a6___12,6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: December,"December: No, December: Yes","6. During which months does the child get wheezing or whistling in the chest?  [Check all that apply]: December: December: No, December: Yes"
