ECHO Variable,ECHO Variable Description,UKMCS Variable,UKMCS Variable Description,Similarity Score
5.b. Possible wheezing symptom triggers: Dogs,"5.b. Possible wheezing symptom triggers: Dogs: Yes, No, Not applicable, Declined, Don’t know, Missing",Health Conditions: Hay Fever,Health Conditions: Hay Fever: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.7985145028301118
5.c. Possible wheezing symptom triggers: Cigarette or cigar smoke,"5.c. Possible wheezing symptom triggers: Cigarette or cigar smoke: Yes, No, Not applicable, Declined, Don’t know, Missing",Current smoking MC1 ,"Current smoking MC1 : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = No, does not smoke; 2.0 = Yes, cigarettes; 3.0 = Yes, roll-ups; 4.0 = Yes, cigars; 5.0 = Yes, a pipe",0.8169184679454128
"5.d. Possible wheezing symptom triggers: Indoor wood smoke (e.g., fireplaces,wood stoves)","5.d. Possible wheezing symptom triggers: Indoor wood smoke (e.g., fireplaces,wood stoves): Yes, No, Not applicable, Declined, Don’t know, Missing",Health Conditions: Bronchitis   ,Health Conditions: Bronchitis   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.7995566675673283
5.e. Possible wheezing symptom triggers: Common cold or sinus infection,"5.e. Possible wheezing symptom triggers: Common cold or sinus infection: Yes, No, Not applicable, Declined, Don’t know, Missing",Health Conditions: Hay Fever,Health Conditions: Hay Fever: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8124226876714808
5.f. Possible wheezing symptom triggers: Other,"5.f. Possible wheezing symptom triggers: Other: Yes, No, Not applicable, Declined, Don’t know, Missing",Worries about health & development MC1 recoded  ,"Worries about health & development MC1 recoded  : -9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not applicable; 1.0 = No, none; 2.0 = Problems with hearing; 3.0 = Problems with seeing; 4.0 = Problems with movement; 5.0 = Slow development; 6.0 = Problems in making noises or learning to speak; 51.0 = Other/Urinary tract, upper respiratory tract; 52.0 = Other/Lower respiratory problem (no mention of; 53.0 = Other/Asthma or wheezing; 54.0 = Other/Eczema; 55.0 = Other/Other allergy, except asthma, wheezing or; 56.0 = Other/Other skin problem including rashes; 57.0 = Other/Feeding problems; 58.0 = Other/Sleeping problem; 59.0 = Other/Behaviour problem; 60.0 = Other/Skeletal problem; 61.0 = Other/Squint; 62.0 = Other/Underweight, failure to gain weight; 63.0 = Other/Failure to grow, small, underheight; 64.0 = Other/Constipation or bleeding from bowels; 65.0 = Other/Late teething or no teeth; 70.0 = Other/Congenital heart disease, definite; 71.0 = Other/Congenital heart disease, not yet definite; 72.0 = Other/Congenital dislocation of hip, definite; 73.0 = Other/Congenital dislocation of hip, not yet; 74.0 = Other/Clubfoot (Talipes equinovarus), definite; 75.0 = Other/Talipes, not yet definite; 76.0 = Other/Specified skeletal abnormalities (bone,; 77.0 = Other/Urogenital abnormalities; 78.0 = Other/Gastrointestinal abnormalities; 79.0 = Other/Harelip/cleft palate; 80.0 = Other/Skin abnormalities; 81.0 = Other/Chromosomal or genetic abnormalities; 82.0 = Other/Brain, central nervous, spinal cord or; 83.0 = Other/Other congenital abnormalities major; 84.0 = Other/Other congenital abnormalities minor; 85.0 = Other answer (not codeable 1-6, 51-65, 70-84); 86.0 = Irrelevant response; 95.0 = Other worries",0.8131965876204165
6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: January,"6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: January: January: No, January: Yes",Whether baby crying is a problem,Whether baby crying is a problem: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.7908405270818384
6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: February,"6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: February: February: No, February: Yes",Health Conditions: Bronchitis   ,Health Conditions: Bronchitis   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.7885666542452989
6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: March,"6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: March: March: No, March: Yes",Problems at birth or in first week MC6  ,Problems at birth or in first week MC6  : ,0.7869469852641104
6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: April,"6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: April: April: No, April: Yes",Health Conditions: Asthma   ,Health Conditions: Asthma   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.7887934464840418
6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: May,"6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: May: May: No, May: Yes",Whether baby crying is a problem,Whether baby crying is a problem: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.7899945421125688
6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: June,"6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: June: June: No, June: Yes",Problems at birth or in first week MC6  ,Problems at birth or in first week MC6  : ,0.7832632068363498
6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: July,"6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: July: July: No, July: Yes",Whether baby crying is a problem,Whether baby crying is a problem: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.7819880629030308
6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: August,"6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: August: August: No, August: Yes",Age when baby started to live with you (months) ,Age when baby started to live with you (months) : -9.0 = Refusal; -8.0 = Don't Know,0.7882200015669064
6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: September,"6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: September: September: No, September: Yes",Health Conditions: Asthma   ,Health Conditions: Asthma   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.7865857843915484
6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: October,"6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: October: October: No, October: Yes",Month at end of period of lone parenthood   ,Month at end of period of lone parenthood   : ,0.7871490582885926
6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: November,"6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: November: November: No, November: Yes",Health Conditions: Bronchitis   ,Health Conditions: Bronchitis   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.7904921330009643
6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: December,"6. During which months does the child get wheezing or whistling in the chest? [ Check all that apply ]: December: December: No, December: Yes",Health Conditions: Bronchitis   ,Health Conditions: Bronchitis   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.7882545421417556
3.b. Has the child ever been hospitalized overnight for croup? [Do not include emergency room visits],"3.b. Has the child ever been hospitalized overnight for croup? [Do not include emergency room visits]: Yes, No, Not applicable, Declined, Don’t know, Missing",Where child born,"Where child born: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ... in hospital,; 2.0 = at home,; 51.0 = Other/On the way to hospital; 85.0 = Other answer (not codeable 1-2, 51); 86.0 = Irrelevant response",0.8363240836913132
4. Has the child ever been diagnosed with pneumonia or bronchitis ?,"4. Has the child ever been diagnosed with pneumonia or bronchitis ?: Yes, No, Not applicable, Declined, Don’t know, Missing",Health Conditions: Bronchitis   ,Health Conditions: Bronchitis   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.840805942679473
1. Does the child sneeze when he/she does not have a cold or the flu?,"1. Does the child sneeze when he/she does not have a cold or the flu?: Yes, No, Not applicable, Declined, Don’t know, Missing",Any illnesses or problems during pregnancy  ,Any illnesses or problems during pregnancy  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8338527215096193
1.a. How often does the child sneeze when he/she does not have a cold or the flu?,"1.a. How often does the child sneeze when he/she does not have a cold or the flu?: Rarely, Sometimes, Frequently, Most of the time, Not applicable, Declined, Don’t know, Missing",Who mostly looks after children when they are ill   ,Who mostly looks after children when they are ill   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = I do most of it; 2.0 = My husband/wife does most of it; 3.0 = We share more or less equally; 4.0 = Someone else does it,0.8255239776131342
2. Does the child get a stuffy nose when he/she does not have a cold or the flu?,"2. Does the child get a stuffy nose when he/she does not have a cold or the flu?: Yes, No, Not applicable, Declined, Don’t know, Missing",Any illnesses or problems during pregnancy  ,Any illnesses or problems during pregnancy  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8298010796219134
2a. How often does the child get a stuffy nose when he/she does not have a cold or the flu?,"2a. How often does the child get a stuffy nose when he/she does not have a cold or the flu?: Rarely, Sometimes, Frequently, Most of the time, Not applicable, Declined, Don’t know, Missing",Who mostly looks after children when they are ill   ,Who mostly looks after children when they are ill   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = I do most of it; 2.0 = My husband/wife does most of it; 3.0 = We share more or less equally; 4.0 = Someone else does it,0.8281810115848568
3. Does the child get a runny nose when he/she does not have a cold or the flu?,"3. Does the child get a runny nose when he/she does not have a cold or the flu?: Yes, No, Not applicable, Declined, Don’t know, Missing",Who mostly looks after children when they are ill   ,Who mostly looks after children when they are ill   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = I do most of it; 2.0 = My husband/wife does most of it; 3.0 = We share more or less equally; 4.0 = Someone else does it,0.8304929524006669
3.a. How often does the child get a runny nose when he/she does not have a cold or the flu?,"3.a. How often does the child get a runny nose when he/she does not have a cold or the flu?: Rarely, Sometimes, Frequently, Most of the time, Not applicable, Declined, Don’t know, Missing",Who mostly looks after children when they are ill   ,Who mostly looks after children when they are ill   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = I do most of it; 2.0 = My husband/wife does most of it; 3.0 = We share more or less equally; 4.0 = Someone else does it,0.8328547298660746
1. Has your child had an itchy rash at any time in the past?,"1. Has your child had an itchy rash at any time in the past?: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether CM has eczema   ,Whether CM has eczema   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.834186097296972
2. Has the child ever had an itchy rash which was coming and going?,"2. Has the child ever had an itchy rash which was coming and going?: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether CM has eczema   ,Whether CM has eczema   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8315783213233248
"3. Has this itchy rash at any time affected any of the following places: the folds of the elbows, behind the knees, in front of the ankles, under the buttocks, or around the neck, ears, or eyes?","3. Has this itchy rash at any time affected any of the following places: the folds of the elbows, behind the knees, in front of the ankles, under the buttocks, or around the neck, ears, or eyes?: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether CM has eczema   ,Whether CM has eczema   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8024521528813007
7.a. Has a doctor or health care provider ever diagnosed the child with eczema or atopic dermatitis ?,"7.a. Has a doctor or health care provider ever diagnosed the child with eczema or atopic dermatitis ?: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether CM has eczema   ,Whether CM has eczema   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8710039432356472
1. Do you believe that the child has ever had a food allergy ?,"1. Do you believe that the child has ever had a food allergy ?: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8368736876464087
2. Has a doctor or other healthcare provider ever diagnosed the child with a food allergy ?,"2. Has a doctor or other healthcare provider ever diagnosed the child with a food allergy ?: Yes, No, Not applicable, Declined, Don’t know, Missing",Any illnesses or problems during pregnancy  ,Any illnesses or problems during pregnancy  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8309232090178181
3.a.1a. Has the child ever tried the food?: Egg,"3.a.1a. Has the child ever tried the food?: Egg: Yes, No, Not applicable, Declined, Don’t know, Missing",Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8560852976907083
3.a.1b. At what age was the food introduced?: Egg,3.a.1b. At what age was the food introduced?: Egg: ,Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8290623446730633
3.a.2. Do you believe the child has been allergic to the food?: Egg,"3.a.2. Do you believe the child has been allergic to the food?: Egg: Yes, No, Not applicable, Declined, Don’t know, Missing",Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8338735209340454
3.a.3. Has a doctor or healthcare provider said child is allergic to food?: Egg,"3.a.3. Has a doctor or healthcare provider said child is allergic to food?: Egg: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether CM has eczema   ,Whether CM has eczema   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8256035629731862
3.a.4. Age (in months) allergy to food first noticed: Egg,3.a.4. Age (in months) allergy to food first noticed: Egg: ,Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.840935829264275
3.a.5. Still allergic to food?: Egg,"3.a.5. Still allergic to food?: Egg: Yes, No, Not applicable, Declined, Don’t know, Missing",Solid food at about the same time   ,Solid food at about the same time   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8348353603436335
3.b.1a. Has the child ever tried the food?: Cow's Milk,"3.b.1a. Has the child ever tried the food?: Cow's Milk: Yes, No, Not applicable, Declined, Don’t know, Missing",Age first had cows milk ,Age first had cows milk : -9.0 = Refusal; -8.0 = Don't Know,0.8677977287762376
3.b.1b. At what age was the food introduced?: Cow's Milk,3.b.1b. At what age was the food introduced?: Cow's Milk: ,Age first had cows milk ,Age first had cows milk : -9.0 = Refusal; -8.0 = Don't Know,0.8643775458230376
3.b.2. Do you believe the child has been allergic to the food?: Cow's Milk,"3.b.2. Do you believe the child has been allergic to the food?: Cow's Milk: Yes, No, Not applicable, Declined, Don’t know, Missing",Age first had cows milk ,Age first had cows milk : -9.0 = Refusal; -8.0 = Don't Know,0.8492999556563394
3.b.3. Has a doctor or healthcare provider said child is allergic to food?: Cow's Milk,"3.b.3. Has a doctor or healthcare provider said child is allergic to food?: Cow's Milk: Yes, No, Not applicable, Declined, Don’t know, Missing",Age first had formula milk  ,Age first had formula milk  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Has not had; 2.0 = Less than one day; 3.0 = Answer given in days; 4.0 = Answer given in weeks,0.8343950876531063
3.b.4. Age (in months) allergy to food first noticed: Cow's Milk,3.b.4. Age (in months) allergy to food first noticed: Cow's Milk: ,Age first had cows milk ,Age first had cows milk : -9.0 = Refusal; -8.0 = Don't Know,0.8638824188912383
3.b.5. Still allergic to food?: Cow's Milk,"3.b.5. Still allergic to food?: Cow's Milk: Yes, No, Not applicable, Declined, Don’t know, Missing",Age first had cows milk ,Age first had cows milk : -9.0 = Refusal; -8.0 = Don't Know,0.8434557533323159
3.c.1a. Has the child ever tried the food?: Peanuts,"3.c.1a. Has the child ever tried the food?: Peanuts: Yes, No, Not applicable, Declined, Don’t know, Missing",Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8555008080410068
3.c.1b. At what age was the food introduced?: Peanuts,3.c.1b. At what age was the food introduced?: Peanuts: ,Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8246996577605917
3.c.2. Do you believe the child has been allergic to the food?: Peanuts,"3.c.2. Do you believe the child has been allergic to the food?: Peanuts: Yes, No, Not applicable, Declined, Don’t know, Missing",Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8313830674058837
3.c.3. Has a doctor or healthcare provider said child is allergic to food?: Peanuts,"3.c.3. Has a doctor or healthcare provider said child is allergic to food?: Peanuts: Yes, No, Not applicable, Declined, Don’t know, Missing",Reasons not had any immunisations MC3   ,"Reasons not had any immunisations MC3   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Administrative error/difficulties e.g. no; 2.0 = Lack of supplies/immunisationation; 3.0 = Staffing problems e.g. doctor unavailable; 4.0 = Other problems with services/service providers; 5.0 = Child was unwell/in hospital when appointment due; 6.0 = Other reason relating to baby; 7.0 = Medical problems related to/bad reactions to; 8.0 = Mother/parent unable to keep appointment; 9.0 = Other reason relating to family; 10.0 = Next appointment in the near future/soon; 11.0 = Doesn t want child to have all immunisations at; 12.0 = Parent hasn t got around to it yet; 13.0 = Prefers to use homeopathic alternative/other method; 14.0 = Parent doesn t like needles/injections; 15.0 = Associated health risks/concerns; 16.0 = Benefits do not outweigh the risks; 17.0 = Believes child is too young, prefers to wait until; 18.0 = Parental choice, no specific reason; 20.0 = No reason given/don t know; 85.0 = Other answer (not codeable 1-18, 20)",0.8220101039639989
3.c.4. Age (in months) allergy to food first noticed: Peanuts,3.c.4. Age (in months) allergy to food first noticed: Peanuts: ,Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8426209266844524
3.c.5. Still allergic to food?: Peanuts,"3.c.5. Still allergic to food?: Peanuts: Yes, No, Not applicable, Declined, Don’t know, Missing",Health Conditions: Hay Fever,Health Conditions: Hay Fever: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.828910386377474
3.d.1a. Has the child ever tried the food?: Tree nuts,"3.d.1a. Has the child ever tried the food?: Tree nuts: Yes, No, Not applicable, Declined, Don’t know, Missing",Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.849033552066966
3.d.1b. At what age was the food introduced?: Tree nuts,3.d.1b. At what age was the food introduced?: Tree nuts: ,Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8242944179598853
3.d.2. Do you believe the child has been allergic to the food?: Tree nuts,"3.d.2. Do you believe the child has been allergic to the food?: Tree nuts: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8322749900250963
3.d.3. Has a doctor or healthcare provider said child is allergic to food?: Tree nuts,"3.d.3. Has a doctor or healthcare provider said child is allergic to food?: Tree nuts: Yes, No, Not applicable, Declined, Don’t know, Missing",Health Conditions: Hay Fever,Health Conditions: Hay Fever: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.819609693244131
3.d.4. Age (in months) allergy to food first noticed: Tree nuts,3.d.4. Age (in months) allergy to food first noticed: Tree nuts: ,Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8385168643998363
3.d.5. Still allergic to food?: Tree nuts,"3.d.5. Still allergic to food?: Tree nuts: Yes, No, Not applicable, Declined, Don’t know, Missing",Health Conditions: Hay Fever,Health Conditions: Hay Fever: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8338788430934966
3.e.1a. Has the child ever tried the food?: Wheat,"3.e.1a. Has the child ever tried the food?: Wheat: Yes, No, Not applicable, Declined, Don’t know, Missing",Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8536122843607888
3.e.1b. At what age was the food introduced?: Wheat,3.e.1b. At what age was the food introduced?: Wheat: ,Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8249998402534262
3.e.2. Do you believe the child has been allergic to the food?: Wheat,"3.e.2. Do you believe the child has been allergic to the food?: Wheat: Yes, No, Not applicable, Declined, Don’t know, Missing",Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.831324974905277
3.e.3. Has a doctor or healthcare provider said child is allergic to food?: Wheat,"3.e.3. Has a doctor or healthcare provider said child is allergic to food?: Wheat: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether CM has eczema   ,Whether CM has eczema   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8215066333561997
3.e.4. Age (in months) allergy to food first noticed: Wheat,3.e.4. Age (in months) allergy to food first noticed: Wheat: ,Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8423149272962636
3.e.5. Still allergic to food?: Wheat,"3.e.5. Still allergic to food?: Wheat: Yes, No, Not applicable, Declined, Don’t know, Missing",Health Conditions: Hay Fever,Health Conditions: Hay Fever: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.834219355408047
3.f.1a. Has the child ever tried the food?: Soy,"3.f.1a. Has the child ever tried the food?: Soy: Yes, No, Not applicable, Declined, Don’t know, Missing",Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8563142465390557
3.f.1b. At what age was the food introduced?: Soy,3.f.1b. At what age was the food introduced?: Soy: ,Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8319018309540112
3.f.2. Do you believe the child has been allergic to the food?: Soy,"3.f.2. Do you believe the child has been allergic to the food?: Soy: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8390945331368638
3.f.3. Has a doctor or healthcare provider said child is allergic to food?: Soy,"3.f.3. Has a doctor or healthcare provider said child is allergic to food?: Soy: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether CM has eczema   ,Whether CM has eczema   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8259574781729557
3.f.4. Age (in months) allergy to food first noticed: Soy,3.f.4. Age (in months) allergy to food first noticed: Soy: ,Age first had formula milk (Months) ,Age first had formula milk (Months) : -9.0 = Refusal; -8.0 = Don't Know,0.8418072259590785
3.f.5. Still allergic to food?: Soy,"3.f.5. Still allergic to food?: Soy: Yes, No, Not applicable, Declined, Don’t know, Missing",Solid food at about the same time   ,Solid food at about the same time   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8370437160482551
3.g.1a. Has the child ever tried the food?: Shellfish,"3.g.1a. Has the child ever tried the food?: Shellfish: Yes, No, Not applicable, Declined, Don’t know, Missing",Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8457409441553029
3.g.1b. At what age was the food introduced?: Shellfish,3.g.1b. At what age was the food introduced?: Shellfish: ,Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8206185266708775
3.g.2. Do you believe the child has been allergic to the food?: Shellfish,"3.g.2. Do you believe the child has been allergic to the food?: Shellfish: Yes, No, Not applicable, Declined, Don’t know, Missing",Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8285048466663626
3.g.3. Has a doctor or healthcare provider said child is allergic to food?: Shellfish,"3.g.3. Has a doctor or healthcare provider said child is allergic to food?: Shellfish: Yes, No, Not applicable, Declined, Don’t know, Missing",Reasons not had any immunisations MC3   ,"Reasons not had any immunisations MC3   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Administrative error/difficulties e.g. no; 2.0 = Lack of supplies/immunisationation; 3.0 = Staffing problems e.g. doctor unavailable; 4.0 = Other problems with services/service providers; 5.0 = Child was unwell/in hospital when appointment due; 6.0 = Other reason relating to baby; 7.0 = Medical problems related to/bad reactions to; 8.0 = Mother/parent unable to keep appointment; 9.0 = Other reason relating to family; 10.0 = Next appointment in the near future/soon; 11.0 = Doesn t want child to have all immunisations at; 12.0 = Parent hasn t got around to it yet; 13.0 = Prefers to use homeopathic alternative/other method; 14.0 = Parent doesn t like needles/injections; 15.0 = Associated health risks/concerns; 16.0 = Benefits do not outweigh the risks; 17.0 = Believes child is too young, prefers to wait until; 18.0 = Parental choice, no specific reason; 20.0 = No reason given/don t know; 85.0 = Other answer (not codeable 1-18, 20)",0.8184036059544667
3.g.4. Age (in months) allergy to food first noticed: Shellfish,3.g.4. Age (in months) allergy to food first noticed: Shellfish: ,Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8417245682512392
3.g.5. Still allergic to food?: Shellfish,"3.g.5. Still allergic to food?: Shellfish: Yes, No, Not applicable, Declined, Don’t know, Missing",Solid food at about the same time   ,Solid food at about the same time   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8259401160492517
3.h.1a. Has the child ever tried the food?: Fish,"3.h.1a. Has the child ever tried the food?: Fish: Yes, No, Not applicable, Declined, Don’t know, Missing",Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8536314327895389
3.h.1b. At what age was the food introduced?: Fish,3.h.1b. At what age was the food introduced?: Fish: ,Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.830601231111499
3.h.2. Do you believe the child has been allergic to the food?: Fish,"3.h.2. Do you believe the child has been allergic to the food?: Fish: Yes, No, Not applicable, Declined, Don’t know, Missing",Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8347642779725825
3.h.3. Has a doctor or healthcare provider said child is allergic to food?: Fish,"3.h.3. Has a doctor or healthcare provider said child is allergic to food?: Fish: Yes, No, Not applicable, Declined, Don’t know, Missing",Any illnesses or problems during pregnancy  ,Any illnesses or problems during pregnancy  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8205707514541889
3.h.4. Age (in months) allergy to food first noticed: Fish,3.h.4. Age (in months) allergy to food first noticed: Fish: ,Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8455330216398679
3.h.5. Still allergic to food?: Fish,"3.h.5. Still allergic to food?: Fish: Yes, No, Not applicable, Declined, Don’t know, Missing",Solid food at about the same time   ,Solid food at about the same time   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8309432996557501
"3.i.1a. Has the child ever tried the food?: Other Food 1, Specify (de-identified)","3.i.1a. Has the child ever tried the food?: Other Food 1, Specify (de-identified): ",Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8448483870635113
3.i.1a. Has the child ever tried the food?: Other Food 1,"3.i.1a. Has the child ever tried the food?: Other Food 1: Yes, No, Not applicable, Declined, Don’t know, Missing",Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8605895927312011
3.i.1b. At what age was the food introduced?: Other Food 1,3.i.1b. At what age was the food introduced?: Other Food 1: ,Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8454124998207055
